Day,Date,Posts live,Affiliate pages,Clicks,Qualifying sales,Action,Done,Notes
1,,,,,,Apply only after public site is live and original content is checked,No,Do not apply while placeholder email or missing public URL remains
3,,,,,,Create Tracking ID and confirm site/social properties in Associates Central,No,Only after account access exists
7,,,,,,Add first affiliate links to 1-2 buyer-intent pages with disclosures,No,Use rel=sponsored and log every link
14,,,,,,Publish or update one supporting article that internally links to money pages,No,Keep informational quality high
21,,,,,,Review affiliate link placement and disclosure visibility,No,No incentivized clicks
30,,,,,,Add/update 2-3 money/supporting pages based on product evidence,No,Prioritize air fryer dish rack coffee maker
45,,,,,,Check GSC queries and improve titles/meta for impression pages,No,Use Search Console data
60,,,,,,Improve pages with impressions and add FAQ/internal links,No,No unsupported product claims
75,,,,,,Publish one comparison or buying guide that supports a money page,No,Use original criteria
90,,,,,,Conversion audit: intent product choice CTA trust disclosures,No,Focus on pages with traffic
105,,,,,,Create 1-2 short videos or visual posts if product evidence exists,No,Disclosure in same medium
120,,,,,,Push organic social/video traffic to site pages,No,Do not send paid ads directly to Amazon
135,,,,,,Refresh product evidence and remove weak links,No,Check availability and compliance
150,,,,,,Refresh money pages and improve comparison tables,No,Avoid manual Amazon prices/ratings
165,,,,,,Final sales gap audit and highest-intent page updates,No,Do not ask friends/family to buy
180,,,,,,Final review before application outcome deadline,No,If not enough sales account may be withdrawn
