"Publish date","URL","Title","Primary keyword","Intent","Pillar","Word count","Affiliate links","Disclosure checked","Indexed","30-day impressions","30-day clicks","Avg position","Next action","source_of_images","affiliate_links_checked","last_policy_review"
"2026-06-23","/guides/small-kitchen-appliance-buying-guide/","Small Kitchen Appliance Buying Guide","small kitchen appliance buying guide","Informational","Buying guides","507","No","Yes","Pending GSC setup","","","","Submit sitemap in Search Console and monitor indexing","None","N/A","2026-06-22"
"2026-06-23","/guides/how-to-choose-air-fryer-size-two-people/","How to Choose an Air Fryer Size for Two People","how to choose an air fryer size for two people","Informational","Compact appliances","573","No","Yes","Pending GSC setup","","","","Submit sitemap in Search Console and monitor indexing","None","N/A","2026-06-22"
"2026-06-23","/comparisons/compact-air-fryer-vs-toaster-oven/","Compact Air Fryer vs Toaster Oven","compact air fryer vs toaster oven","Comparison","Compact appliances","503","No","Yes","Pending GSC setup","","","","Submit sitemap in Search Console and monitor indexing","None","N/A","2026-06-22"
"2026-06-23","/guides/what-kitchen-appliances-do-i-need/","What Kitchen Appliances Do I Really Need?","what kitchen appliances do I really need","Informational","Buying guides","507","No","Yes","Pending GSC setup","","","","Submit sitemap in Search Console and monitor indexing","None","N/A","2026-06-22"
"2026-06-23","/guides/organize-small-kitchen-without-pantry/","How to Organize a Small Kitchen Without a Pantry","how to organize a small kitchen without a pantry","Informational","Kitchen organization","501","No","Yes","Pending GSC setup","","","","Submit sitemap in Search Console and monitor indexing","None","N/A","2026-06-22"
"2026-06-23","/guides/apartment-kitchen-essentials-checklist/","Apartment Kitchen Essentials Checklist","apartment kitchen essentials checklist","Informational","Buying guides","477","No","Yes","Pending GSC setup","","","","Submit sitemap in Search Console and monitor indexing","None","N/A","2026-06-22"
"2026-06-23","/guides/minimalist-kitchen-tools-list/","Minimalist Kitchen Tools List","minimalist kitchen tools list","Informational","Buying guides","481","No","Yes","Pending GSC setup","","","","Submit sitemap in Search Console and monitor indexing","None","N/A","2026-06-22"
"2026-06-23","/guides/store-appliances-small-kitchen/","How to Store Appliances in a Small Kitchen","how to store appliances in a small kitchen","Informational","Kitchen organization","484","No","Yes","Pending GSC setup","","","","Submit sitemap in Search Console and monitor indexing","None","N/A","2026-06-22"
"2026-06-23","/guides/small-coffee-station-ideas-apartment/","Small Coffee Station Ideas for an Apartment","small coffee station ideas for apartment","Informational","Coffee setup","460","No","Yes","Pending GSC setup","","","","Submit sitemap in Search Console and monitor indexing","None","N/A","2026-06-22"
"2026-06-23","/comparisons/mini-food-processor-vs-immersion-blender/","Mini Food Processor vs Immersion Blender","mini food processor vs immersion blender","Comparison","Compact appliances","464","No","Yes","Pending GSC setup","","","","Submit sitemap in Search Console and monitor indexing","None","N/A","2026-06-22"
"2026-06-23","/guides/compact-rice-cooker-buying-guide/","Compact Rice Cooker Buying Guide","compact rice cooker buying guide","Informational","Compact appliances","477","No","Yes","Pending GSC setup","","","","Submit sitemap in Search Console and monitor indexing","None","N/A","2026-06-22"
"2026-06-23","/guides/dish-rack-small-kitchen-buying-guide/","Dish Rack Buying Guide for Small Kitchens","dish rack buying guide small kitchen","Informational","Kitchen organization","468","No","Yes","Pending GSC setup","","","","Submit sitemap in Search Console and monitor indexing","None","N/A","2026-06-22"
"2026-06-23","/guides/small-coffee-maker-buying-guide/","Small Coffee Maker Buying Guide for Apartments","small coffee maker buying guide","Informational","Coffee setup","473","No","Yes","Pending GSC setup","","","","Submit sitemap in Search Console and monitor indexing","None","N/A","2026-06-22"
"2026-06-23","/guides/sink-organizer-buying-guide/","Sink Organizer Buying Guide for Small Kitchens","sink organizer buying guide","Informational","Cleaning tools","459","No","Yes","Pending GSC setup","","","","Submit sitemap in Search Console and monitor indexing","None","N/A","2026-06-22"
"2026-06-23","/guides/cabinet-shelf-riser-buying-guide/","Cabinet Shelf Riser Buying Guide","cabinet shelf riser buying guide","Informational","Kitchen organization","460","No","Yes","Pending GSC setup","","","","Submit sitemap in Search Console and monitor indexing","None","N/A","2026-06-22"
"2026-06-23","/guides/compact-blender-buying-guide/","Compact Blender Buying Guide","compact blender buying guide","Informational","Compact appliances","513","No","Yes","Pending GSC setup","","","","Submit sitemap in Search Console and monitor indexing","None","N/A","2026-06-22"
"2026-06-23","/guides/manual-coffee-grinder-buying-guide/","Manual Coffee Grinder Buying Guide for Apartments","manual coffee grinder buying guide","Informational","Coffee setup","461","No","Yes","Pending GSC setup","","","","Submit sitemap in Search Console and monitor indexing","None","N/A","2026-06-22"
"2026-06-23","/guides/countertop-compost-bin-apartment-guide/","Countertop Compost Bin Guide for Apartments","countertop compost bin apartment guide","Informational","Cleaning tools","466","No","Yes","Pending GSC setup","","","","Submit sitemap in Search Console and monitor indexing","None","N/A","2026-06-22"
"2026-06-23","/guides/portable-induction-cooktop-apartment-guide/","Portable Induction Cooktop Guide for Apartments","portable induction cooktop apartment guide","Informational","Compact appliances","467","No","Yes","Pending GSC setup","","","","Submit sitemap in Search Console and monitor indexing","None","N/A","2026-06-22"
"2026-06-23","/guides/small-kitchen-counter-organization-ideas/","Small Kitchen Counter Organization Ideas","small kitchen counter organization ideas","Informational","Kitchen organization","473","No","Yes","Pending GSC setup","","","","Submit sitemap in Search Console and monitor indexing","None","N/A","2026-06-22"
