"URL","Title","ArticlePage","InContentLog","WordCount","H1Count","H2Count","ArticleInternalLinks","ArticleExternalLinks","HasMetaDescription","HasAmazonStatement","HasNoAffiliateNote","PlaceholderEmail","Priority"
"/about/","About | Tanh's Compact Kitchen Notes","Yes","No","173","1","2","0","0","Yes","Yes","No","No","Required page"
"/affiliate-disclosure/","Affiliate Disclosure | Tanh's Compact Kitchen Notes","Yes","No","143","1","3","0","0","Yes","Yes","No","No","Required page"
"/best/","Best Lists | Tanh's Compact Kitchen Notes","No","No","84","1","0","0","0","Yes","Yes","No","No","Hub or utility page"
"/comparisons/compact-air-fryer-vs-toaster-oven/","Compact Air Fryer vs Toaster Oven | Tanh's Compact Kitchen Notes","Yes","Yes","503","1","8","3","0","Yes","Yes","Yes","No","Source-ready"
"/comparisons/","Comparisons | Tanh's Compact Kitchen Notes","No","No","84","1","0","2","0","Yes","Yes","No","No","Hub or utility page"
"/comparisons/mini-food-processor-vs-immersion-blender/","Mini Food Processor vs Immersion Blender | Tanh's Compact Kitchen Notes","Yes","Yes","464","1","9","3","0","Yes","Yes","Yes","No","Source-ready"
"/contact/","Contact | Tanh's Compact Kitchen Notes","Yes","No","83","1","2","0","0","Yes","Yes","No","No","Required page"
"/guides/apartment-kitchen-essentials-checklist/","Apartment Kitchen Essentials Checklist | Tanh's Compact Kitchen Notes","Yes","Yes","477","1","8","4","0","Yes","Yes","Yes","No","Source-ready"
"/guides/cabinet-shelf-riser-buying-guide/","Cabinet Shelf Riser Buying Guide | Tanh's Compact Kitchen Notes","Yes","Yes","460","1","9","3","0","Yes","Yes","Yes","No","Source-ready"
"/guides/compact-blender-buying-guide/","Compact Blender Buying Guide | Tanh's Compact Kitchen Notes","Yes","Yes","513","1","8","3","0","Yes","Yes","Yes","No","Source-ready"
"/guides/compact-rice-cooker-buying-guide/","Compact Rice Cooker Buying Guide | Tanh's Compact Kitchen Notes","Yes","Yes","477","1","8","3","0","Yes","Yes","Yes","No","Source-ready"
"/guides/countertop-compost-bin-apartment-guide/","Countertop Compost Bin Guide for Apartments | Tanh's Compact Kitchen Notes","Yes","Yes","466","1","8","3","0","Yes","Yes","Yes","No","Source-ready"
"/guides/dish-rack-small-kitchen-buying-guide/","Dish Rack Buying Guide for Small Kitchens | Tanh's Compact Kitchen Notes","Yes","Yes","468","1","9","3","0","Yes","Yes","Yes","No","Source-ready"
"/guides/how-to-choose-air-fryer-size-two-people/","How to Choose an Air Fryer Size for Two People | Tanh's Compact Kitchen Notes","Yes","Yes","573","1","8","3","0","Yes","Yes","Yes","No","Source-ready"
"/guides/","Guides | Tanh's Compact Kitchen Notes","No","No","348","1","0","18","0","Yes","Yes","No","No","Hub or utility page"
"/guides/manual-coffee-grinder-buying-guide/","Manual Coffee Grinder Buying Guide for Apartments | Tanh's Compact Kitchen Notes","Yes","Yes","461","1","7","3","0","Yes","Yes","Yes","No","Source-ready"
"/guides/minimalist-kitchen-tools-list/","Minimalist Kitchen Tools List | Tanh's Compact Kitchen Notes","Yes","Yes","481","1","9","3","0","Yes","Yes","Yes","No","Source-ready"
"/guides/organize-small-kitchen-without-pantry/","How to Organize a Small Kitchen Without a Pantry | Tanh's Compact Kitchen Notes","Yes","Yes","501","1","8","3","0","Yes","Yes","Yes","No","Source-ready"
"/guides/portable-induction-cooktop-apartment-guide/","Portable Induction Cooktop Guide for Apartments | Tanh's Compact Kitchen Notes","Yes","Yes","467","1","8","3","0","Yes","Yes","Yes","No","Source-ready"
"/guides/sink-organizer-buying-guide/","Sink Organizer Buying Guide for Small Kitchens | Tanh's Compact Kitchen Notes","Yes","Yes","459","1","9","3","0","Yes","Yes","Yes","No","Source-ready"
"/guides/small-coffee-maker-buying-guide/","Small Coffee Maker Buying Guide for Apartments | Tanh's Compact Kitchen Notes","Yes","Yes","473","1","9","3","0","Yes","Yes","Yes","No","Source-ready"
"/guides/small-coffee-station-ideas-apartment/","Small Coffee Station Ideas for an Apartment | Tanh's Compact Kitchen Notes","Yes","Yes","460","1","10","3","0","Yes","Yes","Yes","No","Source-ready"
"/guides/small-kitchen-appliance-buying-guide/","Small Kitchen Appliance Buying Guide | Tanh's Compact Kitchen Notes","Yes","Yes","507","1","6","3","0","Yes","Yes","Yes","No","Source-ready"
"/guides/small-kitchen-counter-organization-ideas/","Small Kitchen Counter Organization Ideas | Tanh's Compact Kitchen Notes","Yes","Yes","473","1","7","3","0","Yes","Yes","Yes","No","Source-ready"
"/guides/store-appliances-small-kitchen/","How to Store Appliances in a Small Kitchen | Tanh's Compact Kitchen Notes","Yes","Yes","484","1","9","3","0","Yes","Yes","Yes","No","Source-ready"
"/guides/what-kitchen-appliances-do-i-need/","What Kitchen Appliances Do I Really Need? | Tanh's Compact Kitchen Notes","Yes","Yes","507","1","7","3","0","Yes","Yes","Yes","No","Source-ready"
"/","Tanh's Compact Kitchen Notes | Practical picks for small kitchens","No","No","364","1","4","6","0","Yes","Yes","No","No","Hub or utility page"
"/privacy-policy/","Privacy Policy | Tanh's Compact Kitchen Notes","Yes","No","157","1","5","0","0","Yes","Yes","No","No","Required page"
"/reviews/","Reviews | Tanh's Compact Kitchen Notes","Yes","No","58","1","0","0","0","Yes","Yes","No","No","Hub or utility page"
